Destination,Year,Origin,Migration,Population: Destination,Population: Origin,Euclidean Distance,Per cap per inc: Destination,Total Employment: Destination,Per cap per inc: Origin,Total Employment: Origin
Alabama,2016,Iowa,671,4866824,3133210,11.4329651547189,39509,2619796,46520,2066316
Alabama,2016,Kansas,1261,4866824,2912977,12.8793229857087,39509,2619796,47355,1916428
Alabama,2016,Kentucky,1590,4866824,4440306,4.98109752055639,39509,2619796,39735,2498847
Alabama,2016,Louisiana,1508,4866824,4681346,5.44294212410297,39509,2619796,42499,2690820
Alabama,2016,Maine,151,4866824,1332348,21.6371863825477,39509,2619796,44797,826669
Alabama,2016,Maryland,1903,4866824,6007014,11.837388505843,39509,2619796,58974,3655889
Alabama,2016,Massachusetts,330,4866824,6827280,17.746086068917,39509,2619796,65689,4709906
Alabama,2016,Michigan,2195,4866824,9954117,10.917835980458,39509,2619796,44621,5575625
Alabama,2016,Minnesota,122,4866824,5525360,15.4570772246487,39509,2619796,53058,3698285
Alabama,2016,Mississippi,7602,4866824,2990595,2.83759875603229,39509,2619796,35640,1579873
Alabama,2016,Missouri,2746,4866824,6091384,7.93854309848409,39509,2619796,44287,3700663
Alabama,2016,Montana,294,4866824,1042137,26.8976490252795,39509,2619796,43970,667815
Alabama,2016,Nebraska,33,4866824,1906483,15.648712917564,39509,2619796,49593,1310866
Alabama,2016,Nevada,254,4866824,2919555,30.5412530271869,39509,2619796,45320,1725136
Alabama,2016,New Hampshire,0,4866824,1343694,18.7425779288207,39509,2619796,56455,873134
Alabama,2016,New Jersey,812,4866824,8873584,14.237834845523,39509,2619796,62823,5391330
Alabama,2016,New Mexico,826,4866824,2092555,19.3491553431003,39509,2619796,39008,1092500
Alabama,2016,New York,3047,4866824,19636391,15.208170555399,39509,2619796,61391,12259144
Alabama,2016,North Carolina,6419,4866824,10161802,7.94015585266918,39509,2619796,42787,5829015
Alabama,2016,North Dakota,0,4866824,756114,20.0220007332487,39509,2619796,51717,576908
Alabama,2016,Ohio,2694,4866824,11640060,8.51861258777688,39509,2619796,45204,6931860
Alabama,2016,Oklahoma,1169,4866824,3928143,11.0393904009315,39509,2619796,41868,2286701
Alabama,2016,Oregon,498,4866824,4093271,35.5213487719158,39509,2619796,46548,2450362
Alabama,2016,Pennsylvania,1008,4866824,12788468,12.1184321152575,39509,2619796,51793,7593966
Alabama,2016,Rhode Island,0,4866824,1057816,17.6499276485593,39509,2619796,50604,632521
Alabama,2016,South Carolina,2952,4866824,4963031,6.03630154561345,39509,2619796,40527,2700035
Alabama,2016,South Dakota,52,4866824,863693,17.7552591495404,39509,2619796,48685,597414
Alabama,2016,Tennessee,9960,4866824,6651277,3.09086542353073,39509,2619796,43591,3951095
